UKPRN,NAME,SHORT NAME,CODE,GROUP,RANKING,WORLD RANKING
10002011,Doreen Bird College of Performing Arts Limited,,,,,
10002344,Osteopathic Education and Research Limited,ESO,E80,,,
10003425,Italia Conti Academy of Theatre Arts,,,,,
10004222,Marshall of Cambridge Aerospace Limited,,,,,
10005455,Royal Engineers Vocational Education and Training Trust,,,,,
10007361,CWR,,,,,
10007700,YMCA George Williams Company,,,,,
10007820,Grw P Llandrillo Menai,LLC,L53,,,
10008430,Platform One (IOW) Limited,,,,,
10008653,London School of Commerce,LSC,L70,,,
10009063,Building Crafts College,,,,,
10010093,Academy of Circus Arts and Physical Theatre,,,,,
10020858,Nova Centric Limited,,,,,
10021682,Kaplan Open Learning (Essex) Limited,,,,,
10034200,Pen Green Centre,,,,,
10036456,Backstage Academy (Training) Limited,,,,,
10006570,East Kent College,,,,,
10009554,Richard Taunton Sixth Form College,,,,,
10042570,Pearson College,PEARS,P34,,,
10009099,The Urdang Academy,,,,,
10000517,Banff and Buchan College of Further Education,,,,,
10003896,Lews Castle College,,,,,
10004594,Newbattle Abbey College,,,,,
10005607,Sabhal Mor Ostaig,,,,,
10006146,St David's College,,,,,
10007701,YMCA Wales Commuity College Limited,,,,,
10008073,Armagh College of Further Education,,,,,
10008151,Castlereagh College of Further and Higher Education,,,,,
10008213,East Tyrone College of Further and Higher Education,,,,,
10008233,Fermanagh College of Further Education,,,,,
10008350,Limavady College of Further and Higher Education,,,,,
10008384,North East Institute of Further and Higher Education,,,,,
10008396,Newry and Kilkeel Institute of Further and Higher Education,,,,,
10008399,North West Institute of Further and Higher Education,,,,,
10008627,Causeway Institute of Further and Higher Education,,,,,
10008702,Perth College,,,,,
10008741,South Lanarkshire College,,,,,
10008823,Pencoed Comprehensive School,,,,,
10008953,Ymddiriedolaeth Nant Gwrtheyrn,,,,,
10008958,Early Years - The Organisation for Young Children,,,,,
10009023,East Antrim Institute of Further and Higher Education,,,,,
10009159,North East Scotland College,,,,,
10009165,Angus College,,,,,
10009166,Anniesland College,,,,,
10009170,Ayrshire College,,,,,
10009177,Borders College,,,,,
10009186,Glasgow Clyde College,,,,,
10009193,West College Scotland,,,,,
10009194,Coatbridge College,,,,,
10009199,Cumbernauld College,,,,,
10009204,Dumfries and Galloway College,,,,,
10009205,Dundee and Angus College,,,,,
10009217,Forth Valley College of Further and Higher Education,,,,,
10009218,Glasgow College of Nautical Science,,,,,
10009230,Inverness College,,,,,
10009232,Jewel and Esk Valley College,,,,,
10009233,John Wheatley College,,,,,
10009237,Langside College,,,,,
10009238,Fife College,,,,,
10009249,Moray College,,,,,
10009251,New College Lanarkshire,,,,,
10009256,Glasgow Kelvin College,,,,,
10009281,"Stevenson College, Edinburgh",,,,,
10009282,Stow College,,,,,
10009291,The North Highland College,,,,,
10009295,West Lothian College,,,,,
10009376,Cardiff City and County Council,,,,,
10009410,Merthyr Tydfil County Borough Council,,,,,
10009415,Neath Port Talbot County Borough Council,,,,,
10009449,Vale of Glamorgan County Council,,,,,
10009659,XL Training (Scotland) Limited,,,,,
10009765,Pembrokeshire County Council,,,,,
10009776,Powys County Council,,,,,
10009780,Blaenau Gwent County Borough Council,,,,,
10009834,Wrexham County Borough Council,,,,,
10009843,International Correspondence Schools Limited,,,,,
10009878,Swansea City and County Council,,,,,
10009880,Torfaen County Borough Council,,,,,
10010325,Newport City Council,,,,,
10010327,Monmouthshire County Council,,,,,
10010357,Carmarthenshire County Council,UWTSD,T80,,,
10010390,Shetland College,,,,,
10010449,Caerphilly County Borough Council,,,,,
10010461,Ceredigion County Council,,,,,
10010606,Edinburgh College,,,,,
10010610,Irish Baptist College,,,,,
10010639,East Down Institute of Further and Higher Education,,,,,
10011130,Orkney College,,,,,
10012974,Conwy County Borough Council,,,,,
10013017,Denbighshire County Council,,,,,
10013028,Flintshire County Council,,,,,
10013192,City of Glasgow College,CGC,C39,,,
10013374,Gwynedd County Council,,,,,
10020372,Northern Regional College,,,,,
10020633,Southern Regional College,,,,,
10020634,North West Regional College,,,,,
10020680,Belfast Metropolitan College,,,,,
10020685,South West College,,,,,
10020699,South Eastern Regional College,,,,,
10021550,Centre for Alternative Technology Charity Limited,,,,,
10021984,Popeth Cymraeg Cyfyngedig,,,,,
10023457,The Scottish Police College,,,,,
10024766,Wales Evangelical School of Theology,,,,,
10026843,Eliesha Training Limited,,,,,
10041282,Beauchamp College,,,,,
10000080,Access to Music Limited,ACCM,A43,,,
10000143,Barking and Dagenham London Borough Council,,,,,
10000248,Academy of Live and Recorded Arts,,,,,
10000546,Barrow-In-Furness Sixth Form College,,,,,
10000706,Birmingham Centre for Arts Therapies,,,,,
10000749,Blackburne House,,,,,
10000756,The Blackpool Sixth Form College,,,,,
10000760,Blake Education Limited,,,,,
10000872,Bridge College,,,,,
10000887,Brighton Hove and Sussex Sixth Form College,,,,,
10000920,British Institute of Technology and E-Commerce Limited,BITE,B73,,,
10000936,The British School of Osteopathy,BSO,B87,,,
10000947,The Bromley by Bow Centre,,,,,
